date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:05:28	115/115	---MCZ	200	added ('OK')	text/plain	date:Fri,%2002%20May%202025%2021:56:18%20GMT	https://www.beladivine.com/robots.txt		(from )
16:05:29	135128/135128	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20May%202025%2019:05:35%20GMT	https://www.beladivine.com/	C:/Meus%20Sites/ProjetopilotoNikshmi/index-2.html	(from )
16:05:29	47184/47184	---M--	200	added ('OK')	image/jpeg	etag:%22cf9b1b931da19f5873398fb57c397d4b-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/145796/images/33ca5b-cf8c-7f7d-d218-485465d870c2_80c02e07-c674-477a-9517-f265ac519aeb.png	C:/Meus%20Sites/ProjetopilotoNikshmi/kajabi-storefronts-production/file-uploads/sites/145796/images/33ca5b-cf8c-7f7d-d218-485465d870c2_80c02e07-c674-477a-9517-f265ac519aeb.jpg	(from https://www.beladivine.com/)
16:05:30	1830/1830	---M--	200	added ('OK')	image/png	etag:%22b39f936157f997ab2cc513271c4ad193-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2159628629/settings_images/d1ed723-8a74-0fd-2752-d5a5dea30_Magic-Hands-Talisman-Gold-01.png?v=2	C:/Meus%20Sites/ProjetopilotoNikshmi/kajabi-storefronts-production/file-uploads/themes/2159628629/settings_images/d1ed723-8a74-0fd-2752-d5a5dea30_Magic-Hands-Talisman-Gold-015e1f.png	(from https://www.beladivine.com/)
16:05:30	1421/1421	---MCZ	200	added ('OK')	text/css	etag:W/%221264f7f6d36f12b590681d45fed2c37b%22	https://kajabi-app-assets.kajabi-cdn.com/assets/core-4d08d258547af8a29fc4738e545ca8e26d95e11b829a9db5a0b36d047fb91843.css	C:/Meus%20Sites/ProjetopilotoNikshmi/assets/core-4d08d258547af8a29fc4738e545ca8e26d95e11b829a9db5a0b36d047fb91843.css	(from https://www.beladivine.com/)
16:05:30	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%22e4c542a7f6bf6f74fdd8cdf6e8096396%22	https://use.fontawesome.com/releases/v5.8.1/css/all.css	C:/Meus%20Sites/ProjetopilotoNikshmi/releases/v5.8.1/css/all.css	(from https://www.beladivine.com/)
16:05:31	98988/98988	---MCZ	200	added ('OK')	text/css	etag:W/%2251b4736209bda2dd1990d636eda66fae%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2159732185/assets/styles.css?1742916164877534	C:/Meus%20Sites/ProjetopilotoNikshmi/kajabi-storefronts-production/themes/2159732185/assets/styles1173.css	(from https://www.beladivine.com/)
16:05:31	1775/1775	---MCZ	200	added ('OK')	text/css	etag:W/%2218ef3d49eaeef37d9fa15c2516857f21%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2159732185/assets/slick.css?1742916164877534	C:/Meus%20Sites/ProjetopilotoNikshmi/kajabi-storefronts-production/themes/2159732185/assets/slick1173.css	(from https://www.beladivine.com/)
16:05:31	40653/40653	---MCZ	200	added ('OK')	text/css	etag:W/%22f47af671882729cd8a43c27449a016d3%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2159732185/assets/overrides.css?1742916164877534	C:/Meus%20Sites/ProjetopilotoNikshmi/kajabi-storefronts-production/themes/2159732185/assets/overrides1173.css	(from https://www.beladivine.com/)
16:05:32	228/228	---MC-	302	error ('Found')	text/html	date:Sat,%2003%20May%202025%2019:05:38%20GMT	https://www.beladivine.com/resource_redirect/downloads/file-uploads/sites/179807/themes/2159628696/downloads/0c0dd0-6583-2ee-c42e-2574772425c5_switzer-light.woff2	C:/Meus%20Sites/ProjetopilotoNikshmi/resource_redirect/downloads/file-uploads/sites/179807/themes/2159628696/downloads/0c0dd0-6583-2ee-c42e-2574772425c5_switzer-light.woff2	(from https://www.beladivine.com/)
16:05:32	239/239	---MC-	302	error ('Found')	text/html	date:Sat,%2003%20May%202025%2019:05:39%20GMT	https://www.beladivine.com/resource_redirect/downloads/file-uploads/sites/179807/themes/2159628696/downloads/64c7f1f-1c8d-8f4e-750-12618fbbbf3a_saoldisplay-lightItalic.woff2	C:/Meus%20Sites/ProjetopilotoNikshmi/resource_redirect/downloads/file-uploads/sites/179807/themes/2159628696/downloads/64c7f1f-1c8d-8f4e-750-12618fbbbf3a_saoldisplay-lightItalic.woff2	(from https://www.beladivine.com/)
16:05:33	230/230	---MC-	302	error ('Found')	text/html	date:Sat,%2003%20May%202025%2019:05:39%20GMT	https://www.beladivine.com/resource_redirect/downloads/file-uploads/sites/179807/themes/2159628696/downloads/ac0cfbd-c71c-eb30-4e44-c17a5706a3c_termina-medium.woff2	C:/Meus%20Sites/ProjetopilotoNikshmi/resource_redirect/downloads/file-uploads/sites/179807/themes/2159628696/downloads/ac0cfbd-c71c-eb30-4e44-c17a5706a3c_termina-medium.woff2	(from https://www.beladivine.com/)
16:05:34	234/234	---MC-	302	error ('Found')	text/html	date:Sat,%2003%20May%202025%2019:05:40%20GMT	https://www.beladivine.com/resource_redirect/downloads/file-uploads/sites/179807/themes/2159628696/downloads/62f8700-0e5a-5880-8f10-811243f213_commuterssans-light.woff2	C:/Meus%20Sites/ProjetopilotoNikshmi/resource_redirect/downloads/file-uploads/sites/179807/themes/2159628696/downloads/62f8700-0e5a-5880-8f10-811243f213_commuterssans-light.woff2	(from https://www.beladivine.com/)
